Chromosome	Chr	Start	End	Gene_ID	NewGeneName	GeneName
Pf3D7_01_v3	1	147915	152777	PF3D7_0103400	ZC	ZC
Pf3D7_01_v3	1	154176	160426	PF3D7_0103500	CPP	CPP1
Pf3D7_01_v3	1	161131	166229	PF3D7_0103600	ATPdRh	ATPdRh
Pf3D7_01_v3	1	166513	168687	PF3D7_0103700	L-seryl-tRNA(Sec	L-seryl-tRNA(Sec
Pf3D7_01_v3	1	169079	171273	PF3D7_0103800	actin-related_protein	actin-related_protein
Pf3D7_01_v3	1	172864	174591	PF3D7_0103900	PIESP15	PIESP15
Pf3D7_01_v3	1	175609	176376	PF3D7_0104000	TRSP	TRSP
Pf3D7_01_v3	1	178087	180790	PF3D7_0104100	CPMP	CPMP1
Pf3D7_01_v3	1	182822	184222	PF3D7_0104200	StAR	StAR
Pf3D7_01_v3	1	190269	201230	PF3D7_0104300	UCTH1	UCTH1
Pf3D7_01_v3	1	202536	204143	PF3D7_0104400	4H3M2EDR	4H3M2EDR
Pf3D7_01_v3	1	204622	205455	PF3D7_0104500	CP	CP1.1
Pf3D7_01_v3	1	206170	210189	PF3D7_0104600	CPP	CPP1.1
Pf3D7_01_v3	1	210870	213005	PF3D7_0104700	MFSRT	MFSRT
Pf3D7_01_v3	1	215776	217509	PF3D7_0104800	NPT1	NPT1
Pf3D7_01_v3	1	218517	218824	PF3D7_0104900	ncRNA	ncRNA
Pf3D7_01_v3	1	218894	219223	PF3D7_0105000	ncRNA	ncRNA.1
Pf3D7_01_v3	1	221202	221633	PF3D7_0105100	CAP	CAP
Pf3D7_01_v3	1	222254	223960	PF3D7_0105200	HRRAPDCP	HRRAPDCP
Pf3D7_01_v3	1	225110	225779	PF3D7_0105300	cyclase-associated_protein	cyclase-associated_protein
Pf3D7_01_v3	1	226681	227285	PF3D7_0105400	CPP	CPP1.2
Pf3D7_01_v3	1	228485	229519	PF3D7_0105500	CP	CP1.2
Pf3D7_01_v3	1	230289	234402	PF3D7_0105600	CPP	CPP1.3
Pf3D7_01_v3	1	238666	247857	PF3D7_0105700	Pfa35-2	Pfa35-2
Pf3D7_01_v3	1	249231	252010	PF3D7_0105800	cyclin-dependent_kinases_regulatory_subunit	cyclin-dependent_kinases_regulatory_subunit
Pf3D7_01_v3	1	253584	254930	PF3D7_0105900	3'-5'_exonuclease	3'-5'_exonuclease
Pf3D7_01_v3	1	255775	258543	PF3D7_0106000	CP	CP1.3
Pf3D7_01_v3	1	260658	261809	PF3D7_0106100	V-type_proton_ATPase_subunit_C	V-type_proton_ATPase_subunit_C
Pf3D7_01_v3	1	263340	264223	PF3D7_0106200	EF_hand	EF_hand
Pf3D7_01_v3	1	265208	269173	PF3D7_0106300	calcium-transporting_ATPase	calcium-transporting_ATPase
Pf3D7_01_v3	1	272454	273404	PF3D7_0106400	pre-rRNA-processing_protein_TSR2	pre-rRNA-processing_protein_TSR2
Pf3D7_01_v3	1	274315	278550	PF3D7_0106500	CPP	CPP1.4
Pf3D7_01_v3	1	279115	280014	PF3D7_0106600	CPP	CPP1.5
Pf3D7_01_v3	1	281155	285459	PF3D7_0106700	AARP2_protein	AARP2_protein
Pf3D7_01_v3	1	286951	288918	PF3D7_0106800	ras-related_protein_Rab-5C	ras-related_protein_Rab-5C
Pf3D7_01_v3	1	290386	292590	PF3D7_0106900	2-C-methyl-D-erythritol_4-phosphate_cytidylyltransferase	2-C-methyl-D-erythritol_4-phosphate_cytidylyltransferase
Pf3D7_01_v3	1	293642	294968	PF3D7_0107000	CEN1	CEN1
Pf3D7_01_v3	1	295300	296931	PF3D7_0107100	CP	CP1.4
Pf3D7_01_v3	1	297362	299397	PF3D7_0107200	CCR4_3	CCR4_3
Pf3D7_01_v3	1	299562	300868	PF3D7_0107300	CPP	CPP1.6
Pf3D7_01_v3	1	302937	303398	PF3D7_0107400	ATP_SAP	ATP_SAP
Pf3D7_01_v3	1	304362	309257	PF3D7_0107500	Niemann-Pick_type_C1-related_protein	Niemann-Pick_type_C1-related_protein
Pf3D7_01_v3	1	314618	319405	PF3D7_0107600	eukaryotic_translation_initiation_factor_2-alpha_kinase_2	eukaryotic_translation_initiation_factor_2-alpha_kinase_2
Pf3D7_01_v3	1	320168	321508	PF3D7_0107700	OST3/OST6	OST3/OST6
Pf3D7_01_v3	1	322371	326072	PF3D7_0107800	MRE11	MRE11
Pf3D7_01_v3	1	326397	327224	PF3D7_0107900	CPP	CPP1.7
Pf3D7_01_v3	1	328431	329558	PF3D7_0108000	proteasome_subunit_beta_type-3	proteasome_subunit_beta_type-3
Pf3D7_01_v3	1	330738	332708	PF3D7_0108100	CP	CP1.5
Pf3D7_01_v3	1	337168	343833	PF3D7_0108300	CPP	CPP1.8
Pf3D7_01_v3	1	344400	346540	PF3D7_0108400	MCP	MCP
Pf3D7_01_v3	1	349170	349709	PF3D7_0108500	CPP	CPP1.9
Pf3D7_01_v3	1	349995	351626	PF3D7_0108600	CP	CP1.6
Pf3D7_01_v3	1	352314	356211	PF3D7_0108700	secreted_ookinete_protein	secreted_ookinete_protein
Pf3D7_01_v3	1	357834	360339	PF3D7_0108800	MCP	MCP.1
Pf3D7_01_v3	1	361987	362586	PF3D7_0108900	ncRNA	ncRNA.2
Pf3D7_01_v3	1	363318	363992	PF3D7_0109000	PHIL1	PHIL1
Pf3D7_01_v3	1	365610	368795	PF3D7_0109100	LCCL	LCCL
Pf3D7_01_v3	1	369480	370178	PF3D7_0109200	cleavage_and_polyadenylation_specificity_factor_subunit_5	cleavage_and_polyadenylation_specificity_factor_subunit_5
Pf3D7_01_v3	1	371815	373012	PF3D7_0109300	fatty_acid_elongation_protein,_GNS1/SUR4_family	fatty_acid_elongation_protein,_GNS1/SUR4_family
Pf3D7_01_v3	1	374439	375087	PF3D7_0109400	tubulin-specific_chaperone_a	tubulin-specific_chaperone_a
Pf3D7_01_v3	1	376294	377004	PF3D7_0109500	N-acetyltransferase,_GNAT_family	N-acetyltransferase,_GNAT_family
Pf3D7_01_v3	1	377874	378599	PF3D7_0109600	cold-shock_protein	cold-shock_protein
Pf3D7_01_v3	1	379149	379806	PF3D7_0109700	RRP36	RRP36
Pf3D7_01_v3	1	380697	382424	PF3D7_0109800	phenylalanine--tRNA_ligase_alpha_subunit	phenylalanine--tRNA_ligase_alpha_subunit
Pf3D7_01_v3	1	383284	386632	PF3D7_0109850	phosphatidate_cytidylyltransferase	phosphatidate_cytidylyltransferase
Pf3D7_01_v3	1	386708	387940	PF3D7_0109950	CP	CP1.7
Pf3D7_01_v3	1	388372	389076	PF3D7_0110000	CPP	CPP1.10
Pf3D7_01_v3	1	389261	392065	PF3D7_0110100	selenocysteine-specific_elongation_factor	selenocysteine-specific_elongation_factor
Pf3D7_01_v3	1	392604	393035	PF3D7_0110200	ERV1	ERV1
Pf3D7_01_v3	1	393216	393490	PF3D7_0110300	ncRNA	ncRNA.3
Pf3D7_01_v3	1	393875	394835	PF3D7_0110400	RPB9	RPB9
Pf3D7_01_v3	1	396591	403606	PF3D7_0110500	bromodomain_protein	bromodomain_protein
Pf3D7_01_v3	1	405739	412169	PF3D7_0110600	phosphatidylinositol-4-phosphate_5-kinase	phosphatidylinositol-4-phosphate_5-kinase
Pf3D7_01_v3	1	413760	415100	PF3D7_0110700	chromatin_assembly_factor_1_protein_WD40_domain	chromatin_assembly_factor_1_protein_WD40_domain
Pf3D7_01_v3	1	417921	419607	PF3D7_0110800	TFIIB	TFIIB
Pf3D7_01_v3	1	420293	420853	PF3D7_0110900	adenylate_kinase-like_protein_1	adenylate_kinase-like_protein_1
Pf3D7_01_v3	1	421776	427575	PF3D7_0111000	kinesin-8	kinesin-8
Pf3D7_01_v3	1	430152	430858	PF3D7_0111200	CP	CP1.8
Pf3D7_01_v3	1	431539	435042	PF3D7_0111300	P-loop_containing_nucleoside_triphosphate_hydrolase	P-loop_containing_nucleoside_triphosphate_hydrolase
Pf3D7_01_v3	1	436408	438564	PF3D7_0111400	CPP	CPP1.11
Pf3D7_01_v3	1	439652	441418	PF3D7_0111500	UMP-CMP_kinase	UMP-CMP_kinase
Pf3D7_01_v3	1	442543	443289	PF3D7_0111600	CPP	CPP1.12
Pf3D7_01_v3	1	443585	443938	PF3D7_0111700	CP	CP1.9
Pf3D7_01_v3	1	446026	448849	PF3D7_0111800	eukaryotic_translation_initiation_factor_4E	eukaryotic_translation_initiation_factor_4E
Pf3D7_01_v3	1	450043	450646	PF3D7_0111900	CP	CP1.10
Pf3D7_01_v3	1	450831	453118	PF3D7_0112000	TatD-like_deoxyribonuclease	TatD-like_deoxyribonuclease
Pf3D7_01_v3	1	454847	455338	PF3D7_0112100	CPP	CPP1.13
Pf3D7_01_v3	1	464726	470194	PF3D7_0112200	MSP1	MSP1
Pf3D7_01_v3	1	473739	475887	PF3D7_0112300	18S_ribosomal_RNA	18S_ribosomal_RNA
Pf3D7_01_v3	1	475888	476286	PF3D7_0112400	ribosomal_RNA	ribosomal_RNA
Pf3D7_01_v3	1	476287	476428	PF3D7_0112500	5.8S_ribosomal_RNA	5.8S_ribosomal_RNA
Pf3D7_01_v3	1	476429	477278	PF3D7_0112600	ribosomal_RNA	ribosomal_RNA.1
Pf3D7_01_v3	1	477279	481382	PF3D7_0112700	28S_ribosomal_RNA	28S_ribosomal_RNA
Pf3D7_01_v3	1	481809	482618	PF3D7_0112800	hyp11	hyp11
Pf3D7_01_v3	1	486500	487186	PF3D7_0112900	PEP	PEP1.2
Pf3D7_01_v3	1	487892	490127	PF3D7_0113000	GARP	GARP
Pf3D7_01_v3	1	495244	500076	PF3D7_0113100	SURFIN_1.1	SURFIN_1.1
Pf3D7_01_v3	1	500959	502868	PF3D7_0113200	PEP	PEP1.3
Pf3D7_01_v3	1	504938	506874	PF3D7_0113300	hyp1	hyp1
Pf3D7_01_v3	1	508252	509748	PF3D7_0113400	PEP	PEP1.4
Pf3D7_01_v3	1	512086	517855	PF3D7_0113600	VAR	VAR.8
Pf3D7_01_v3	1	520807	522579	PF3D7_0113700	heat_shock_protein_40,_type_II	heat_shock_protein_40,_type_II
Pf3D7_01_v3	1	527107	536351	PF3D7_0113800	DBLCP	DBLCP
Pf3D7_01_v3	1	537109	538025	PF3D7_0113900	CX3CL1-binding_protein_1	CX3CL1-binding_protein_1
Pf3D7_01_v3	1	542480	546983	PF3D7_0114000	EPF_1	EPF_1
Pf3D7_01_v3	1	547597	548380	PF3D7_0114100	MC-2TM	MC-2TM.1
Pf3D7_01_v3	1	550576	551713	PF3D7_0114200	EPF_3	EPF_3.1
Pf3D7_01_v3	1	552640	553797	PF3D7_0114300	VAR	VAR.9
Pf3D7_01_v3	1	554057	555439	PF3D7_0114400	VAR	VAR.10
Pf3D7_01_v3	1	558201	558708	PF3D7_0114500	hyp10	hyp10
Pf3D7_01_v3	1	560474	561534	PF3D7_0114600	VAR	VAR.11
Pf3D7_01_v3	1	563703	564842	PF3D7_0114700	RIF	RIF.8
Pf3D7_01_v3	1	569485	570272	PF3D7_0114800	hyp7	hyp7
Pf3D7_01_v3	1	572135	572853	PF3D7_0114900	VAR	VAR.12
Pf3D7_01_v3	1	577704	583789	PF3D7_0115000	SURFIN_1.3	SURFIN_1.3
Pf3D7_01_v3	1	584722	584867	PF3D7_0115050	ncRNA	ncRNA.4
Pf3D7_01_v3	1	587391	588394	PF3D7_0115100	PHISTa	PHISTa
Pf3D7_01_v3	1	589386	589994	PF3D7_0115150	VAR	VAR.13
Pf3D7_01_v3	1	591849	593187	PF3D7_0115200	RIF	RIF.9
Pf3D7_01_v3	1	595102	596273	PF3D7_0115300	RIF	RIF.10
Pf3D7_01_v3	1	598465	599472	PF3D7_0115400	stevor	stevor.1
Pf3D7_01_v3	1	600692	601992	PF3D7_0115500	VAR	VAR.14
Pf3D7_01_v3	1	604162	605531	PF3D7_0115600	RIF	RIF.11
Pf3D7_01_v3	1	607390	614893	PF3D7_0115700	VAR	VAR.15
Pf3D7_02_v3	2	25232	31168	PF3D7_0200100	VAR	VAR
Pf3D7_02_v3	2	33030	34259	PF3D7_0200200	RIF	RIF
Pf3D7_02_v3	2	35927	37249	PF3D7_0200300	PfEMP1	PfEMP1
Pf3D7_02_v3	2	38287	39303	PF3D7_0200400	stevor	stevor
Pf3D7_02_v3	2	41515	42858	PF3D7_0200500	RIF	RIF.1
Pf3D7_02_v3	2	45286	46558	PF3D7_0200600	RIF	RIF.2
Pf3D7_02_v3	2	48923	50147	PF3D7_0200700	RIF	RIF.3
Pf3D7_02_v3	2	51842	53055	PF3D7_0200800	VAR	VAR.1
Pf3D7_02_v3	2	54254	55255	PF3D7_0200900	VAR	VAR.2
Pf3D7_02_v3	2	57344	58421	PF3D7_0201000	RIF	RIF.4
Pf3D7_02_v3	2	60107	60319	PF3D7_0201100	PEP	PEP2
Pf3D7_02_v3	2	63157	64376	PF3D7_0201200	RIF	RIF.5
Pf3D7_02_v3	2	66529	67545	PF3D7_0201300	stevor	stevor.1
Pf3D7_02_v3	2	69088	69771	PF3D7_0201400	hyp10	hyp10
Pf3D7_02_v3	2	73441	74396	PF3D7_0201500	hyp9	hyp9
Pf3D7_02_v3	2	77251	78808	PF3D7_0201600	PHISTb_domain-containing_RESA-like_protein_1	PHISTb_domain-containing_RESA-like_protein_1
Pf3D7_02_v3	2	81291	84165	PF3D7_0201700	DnaJ_protein	DnaJ_protein
Pf3D7_02_v3	2	86832	88791	PF3D7_0201800	knob_associated_heat_shock_protein_40	knob_associated_heat_shock_protein_40
Pf3D7_02_v3	2	91318	98838	PF3D7_0201900	EMP3	EMP3
Pf3D7_02_v3	2	103385	105796	PF3D7_0202000	knob-associated_histidine-rich_protein	knob-associated_histidine-rich_protein
Pf3D7_02_v3	2	109564	110580	PF3D7_0202100	LSA2	LSA2
Pf3D7_02_v3	2	112547	113682	PF3D7_0202200	EMP1-trafficking_protein	EMP1-trafficking_protein
Pf3D7_02_v3	2	117225	118235	PF3D7_0202300	hyp11	hyp11
Pf3D7_02_v3	2	120524	124102	PF3D7_0202400	translation-enhancing_factor	translation-enhancing_factor
Pf3D7_02_v3	2	127994	128314	PF3D7_0202500	ETRAMP2	ETRAMP2
Pf3D7_02_v3	2	129342	133563	PF3D7_0202600	nucleic acid-binding protein	nucleic acid-binding protein
Pf3D7_02_v3	2	135523	137139	PF3D7_0202700	octaprenyl_pyrophosphate_synthase	octaprenyl_pyrophosphate_synthase
Pf3D7_02_v3	2	137557	138389	PF3D7_0202800	CPP	CPP2
Pf3D7_02_v3	2	138927	141192	PF3D7_0202900	palmitoyltransferase_DHHC12	palmitoyltransferase_DHHC12
Pf3D7_02_v3	2	141625	147564	PF3D7_0203000	repetitive_organellar_protein	repetitive_organellar_protein
Pf3D7_02_v3	2	149524	156981	PF3D7_0203100	protein_kinase	protein_kinase
Pf3D7_02_v3	2	158137	159660	PF3D7_0203200	CPP	CPP2.1
Pf3D7_02_v3	2	160514	161242	PF3D7_0203300	ERCC1_nucleotide_excision_repair_protein	ERCC1_nucleotide_excision_repair_protein
Pf3D7_02_v3	2	162065	162900	PF3D7_0203400	CPP	CPP2.2
Pf3D7_02_v3	2	164269	164340	PF3D7_0203500	tRNA	tRNA
Pf3D7_02_v3	2	166144	168051	PF3D7_0203600	CPP	CPP2.3
Pf3D7_02_v3	2	168682	170136	PF3D7_0203700	protein_MAK16	protein_MAK16
Pf3D7_02_v3	2	171563	174912	PF3D7_0203800	CPP	CPP2.4
Pf3D7_02_v3	2	176567	178300	PF3D7_0203900	5'-3'_exonuclease,_N-terminal_resolvase-like_domain	5'-3'_exonuclease,_N-terminal_resolvase-like_domain
Pf3D7_02_v3	2	178955	181526	PF3D7_0204000	condensin-2_complex_subunit_H2	condensin-2_complex_subunit_H2
Pf3D7_02_v3	2	182228	189115	PF3D7_0204100	Sel1_repeat-containing_protein	Sel1_repeat-containing_protein
Pf3D7_02_v3	2	192818	194199	PF3D7_0204200	CPP	CPP2.5
Pf3D7_02_v3	2	194826	196916	PF3D7_0204300	CPP	CPP2.6
Pf3D7_02_v3	2	197219	198043	PF3D7_0204400	dynein_light_chain	dynein_light_chain
Pf3D7_02_v3	2	198353	199570	PF3D7_0204500	aspartate_transaminase	aspartate_transaminase
Pf3D7_02_v3	2	200482	204048	PF3D7_0204600	5'-3'_exonuclease	5'-3'_exonuclease
Pf3D7_02_v3	2	205889	207403	PF3D7_0204700	hexose_transporter	hexose_transporter
Pf3D7_02_v3	2	209583	210833	PF3D7_0204800	3'-5'_exonuclease	3'-5'_exonuclease
Pf3D7_02_v3	2	211348	212627	PF3D7_0204900	2-methoxy-6-polyprenyl-1,4-benzoquinol_methylase,_mitochondrial	2-methoxy-6-polyprenyl-1,4-benzoquinol_methylase,_mitochondrial
Pf3D7_02_v3	2	212982	214508	PF3D7_0205000	CPP	CPP2.7
Pf3D7_02_v3	2	214838	217348	PF3D7_0205100	CPP	CPP2.8
Pf3D7_02_v3	2	217882	218907	PF3D7_0205200	MORN_repeat_protein	MORN_repeat_protein
Pf3D7_02_v3	2	219690	222256	PF3D7_0205300	CPP	CPP2.9
Pf3D7_02_v3	2	223478	224851	PF3D7_0205400	PCI	PCI
Pf3D7_02_v3	2	225562	226245	PF3D7_0205500	DNA-16_kDa_subunit	DNA-16_kDa_subunit
Pf3D7_02_v3	2	228025	229932	PF3D7_0205600	CPP	CPP2.10
Pf3D7_02_v3	2	231141	232529	PF3D7_0205700	RNA-binding protein	RNA-binding protein
Pf3D7_02_v3	2	232729	233476	PF3D7_0205800	PH	PH
Pf3D7_02_v3	2	235237	238816	PF3D7_0205900	RPN1	RPN1
Pf3D7_02_v3	2	239246	243796	PF3D7_0206000	RAD2	RAD2
Pf3D7_02_v3	2	245358	246699	PF3D7_0206100	cysteine_desulfuration_protein_SufE	cysteine_desulfuration_protein_SufE
Pf3D7_02_v3	2	249030	250727	PF3D7_0206200	pantothenate_transporter	pantothenate_transporter
Pf3D7_02_v3	2	252394	262443	PF3D7_0206300	VAR	VAR.3
Pf3D7_02_v3	2	263037	267347	PF3D7_0206500	CPP	CPP2.11
Pf3D7_02_v3	2	270078	270619	PF3D7_0206600	RPC10	RPC10
Pf3D7_02_v3	2	271594	273009	PF3D7_0206700	adenylosuccinate_lyase	adenylosuccinate_lyase
Pf3D7_02_v3	2	273689	274507	PF3D7_0206800	MSP2	MSP2
Pf3D7_02_v3	2	275540	276577	PF3D7_0206900	MSP5	MSP5
Pf3D7_02_v3	2	277494	278456	PF3D7_0207000	MSP4	MSP4
Pf3D7_02_v3	2	281907	287345	PF3D7_0207100	CPP	CPP2.12
Pf3D7_02_v3	2	288183	288665	PF3D7_0207200	iron-sulfur_assembly_protein	iron-sulfur_assembly_protein
Pf3D7_02_v3	2	290168	292703	PF3D7_0207300	SRA8	SRA8
Pf3D7_02_v3	2	294273	297616	PF3D7_0207400	SRA7	SRA7
Pf3D7_02_v3	2	298897	302564	PF3D7_0207500	SRA6	SRA6
Pf3D7_02_v3	2	303593	307027	PF3D7_0207600	SRA5	SRA5
Pf3D7_02_v3	2	308847	312155	PF3D7_0207700	SRA4	SRA4
Pf3D7_02_v3	2	313449	316741	PF3D7_0207800	SRA3	SRA3
Pf3D7_02_v3	2	317596	321310	PF3D7_0207900	SRA2	SRA2
Pf3D7_02_v3	2	322338	325723	PF3D7_0208000	SRA1	SRA1
Pf3D7_02_v3	2	327932	335203	PF3D7_0208100	CPP	CPP2.13
Pf3D7_02_v3	2	335679	336581	PF3D7_0208200	KRR1_small_subunit_processome_component	KRR1_small_subunit_processome_component
Pf3D7_02_v3	2	337558	342966	PF3D7_0208300	CPP	CPP2.14
Pf3D7_02_v3	2	343308	349340	PF3D7_0208400	CPP	CPP2.15
Pf3D7_02_v3	2	352836	353628	PF3D7_0208500	acyl_carrier_protein	acyl_carrier_protein
Pf3D7_02_v3	2	354621	356117	PF3D7_0208600	ribosome-recycling_factor	ribosome-recycling_factor
Pf3D7_02_v3	2	356501	358014	PF3D7_0208700	SHS2 domain-containing protein	SHS2 domain-containing protein
Pf3D7_02_v3	2	359142	359849	PF3D7_0208800	CPP	CPP2.16
Pf3D7_02_v3	2	360828	368354	PF3D7_0208900	P230p	P230p
Pf3D7_02_v3	2	370438	379845	PF3D7_0209000	P230	P230
Pf3D7_02_v3	2	381130	383445	PF3D7_0209100	patatin-like_phospholipase	patatin-like_phospholipase
Pf3D7_02_v3	2	384865	386580	PF3D7_0209200	exosome_complex_component_MTR3	exosome_complex_component_MTR3
Pf3D7_02_v3	2	387273	388151	PF3D7_0209300	2C-methyl-D-erythritol_2,4-cyclodiphosphate_synthase	2C-methyl-D-erythritol_2,4-cyclodiphosphate_synthase
Pf3D7_02_v3	2	388424	390611	PF3D7_0209400	hypothetical_protein	hypothetical_protein
Pf3D7_02_v3	2	391275	392789	PF3D7_0209500	CPP	CPP2.17
Pf3D7_02_v3	2	394237	398745	PF3D7_0209600	transporter	transporter
Pf3D7_02_v3	2	400153	401859	PF3D7_0209700	RING_zinc_finger_protein	RING_zinc_finger_protein
Pf3D7_02_v3	2	404281	406355	PF3D7_0209800	ATPdRh_UAP56	ATPdRh_UAP56
Pf3D7_02_v3	2	407900	408438	PF3D7_0209900	ncRNA	ncRNA
Pf3D7_02_v3	2	409983	410228	PF3D7_0210000	secretory_complex_protein_61_gamma_subunit	secretory_complex_protein_61_gamma_subunit
Pf3D7_02_v3	2	412275	412859	PF3D7_0210100	RPL37A	RPL37A
Pf3D7_02_v3	2	413278	421137	PF3D7_0210200	CPP	CPP2.18
Pf3D7_02_v3	2	423063	424654	PF3D7_0210300	monocarboxylate_transporter	monocarboxylate_transporter
Pf3D7_02_v3	2	425689	426497	PF3D7_0210400	50S_rp_L33	50S_rp_L33
Pf3D7_02_v3	2	427490	431530	PF3D7_0210500	CPP	CPP2.19
Pf3D7_02_v3	2	432041	434086	PF3D7_0210600	CP	CP2
Pf3D7_02_v3	2	436050	436994	PF3D7_0210700	syntaxin,_Qa-SNARE_family	syntaxin,_Qa-SNARE_family
Pf3D7_02_v3	2	437755	439002	PF3D7_0210800	CPP	CPP2.20
Pf3D7_02_v3	2	442080	442934	PF3D7_0210900	CPP	CPP2.21
Pf3D7_02_v3	2	443824	444608	PF3D7_0211000	ncRNA	ncRNA.1
Pf3D7_02_v3	2	451751	455116	PF3D7_0211100	CPP	CPP2.22
Pf3D7_02_v3	2	455579	456286	PF3D7_0211200	ras-related_protein_Rab-5A	ras-related_protein_Rab-5A
Pf3D7_02_v3	2	457130	458585	PF3D7_0211300	ubiquinol-cytochrome-c_reductase_complex_assembly_factor_1	ubiquinol-cytochrome-c_reductase_complex_assembly_factor_1
Pf3D7_02_v3	2	459072	461518	PF3D7_0211400	beta-ketoacyl-ACP_synthase_III	beta-ketoacyl-ACP_synthase_III
Pf3D7_02_v3	2	463163	466900	PF3D7_0211500	GAF_domain-related_protein	GAF_domain-related_protein
Pf3D7_02_v3	2	467847	468476	PF3D7_0211600	UDP-N-acetylglucosamine_transferase_subunit_ALG14	UDP-N-acetylglucosamine_transferase_subunit_ALG14
Pf3D7_02_v3	2	469790	473491	PF3D7_0211700	tyrosine_kinase-like_protein	tyrosine_kinase-like_protein
Pf3D7_02_v3	2	475242	477074	PF3D7_0211800	asparagine--tRNA_ligase	asparagine--tRNA_ligase
Pf3D7_02_v3	2	477432	479091	PF3D7_0211900	pseudouridine_synthase	pseudouridine_synthase
Pf3D7_02_v3	2	480100	481432	PF3D7_0212000	GDP-fructose:GMP_antiporter	GDP-fructose:GMP_antiporter
Pf3D7_02_v3	2	483436	488970	PF3D7_0212100	CPP	CPP2.23
Pf3D7_02_v3	2	489904	490818	PF3D7_0212200	rp_L12,_mitochondrial	rp_L12,_mitochondrial
Pf3D7_02_v3	2	492616	494306	PF3D7_0212300	peptide_chain_release_factor_subunit_1	peptide_chain_release_factor_subunit_1
Pf3D7_02_v3	2	495166	507854	PF3D7_0212400	CPMP	CPMP2
Pf3D7_02_v3	2	509525	521746	PF3D7_0212500	CPP	CPP2.24
Pf3D7_02_v3	2	522931	523999	PF3D7_0212600	SPATR	SPATR
Pf3D7_02_v3	2	524700	526043	PF3D7_0212700	SRR1-like_protein	SRR1-like_protein
Pf3D7_02_v3	2	528249	531923	PF3D7_0212800	multidrug_efflux_pump	multidrug_efflux_pump
Pf3D7_02_v3	2	533253	534350	PF3D7_0212900	arginyl-tRNA--protein_transferase	arginyl-tRNA--protein_transferase
Pf3D7_02_v3	2	535646	536146	PF3D7_0213000	CP	CP2.1
Pf3D7_02_v3	2	537789	539420	PF3D7_0213100	protein_SIS1	protein_SIS1
Pf3D7_02_v3	2	540409	540969	PF3D7_0213200	CP	CP2.2
Pf3D7_02_v3	2	541086	541548	PF3D7_0213300	CP	CP2.3
Pf3D7_02_v3	2	541811	543807	PF3D7_0213400	protein_kinase_7	protein_kinase_7
Pf3D7_02_v3	2	543802	545895	PF3D7_0213500	tetratricopeptide_repeat_protein	tetratricopeptide_repeat_protein
Pf3D7_02_v3	2	546482	555294	PF3D7_0213600	CPP	CPP2.25
